Country	Species	KippsIndex	BillLength	BillWidth	Bodymass
Ecuador	Tangara_chrysotis	0.25	15.3	8.2	24
Ecuador	Tangara_cyanicollis	0.22	13.5	7.7	17
Ecuador	Tangara_gyrola	0.20	14.3	7.7	21
Ecuador	Tangara_labradorides	0.13	11.8	7.3	15
Ecuador	Tangara_mexicana	0.24	7.8	5.9	20.5
Ecuador	Tangara_nigrocincta	0.22	13.2	8.1	17
Ecuador	Tangara_nigroviridis	0.17	11.7	7.5	17
Ecuador	Tangara_parzudakii	0.23	15.3	9.0	28
Ecuador	Tangara_punctata	0.21	11.7	6.8	15
Ecuador	Tangara_ruficervix	0.24	12.8	7.6	19
Ecuador	Tangara_schrankii	0.21	14.5	8.2	19
Ecuador	Tangara_vassorii	0.23	12.8	8.0	18
Ecuador	Tangara_viridicollis	0.23	13.5	8.5	21
Ecuador	Tangara_xanthocephala	0.22	12.8	7.3	19
Ecuador	Tangara_xanthogastra	0.19	13.3	6.6	15
Ecuador	Tersina_viridis	0.29	16.2	13.3	29
Ecuador	Thlypopsis_ornata	0.15	15.3	6.8	12
Ecuador	Thraupis_cyanocephala	0.16	16.9	10.7	36
Ecuador	Thraupis_episcopus	0.23	17.5	10.2	35
Ecuador	Thraupis_palmarum	0.22	18.5	9.6	39
Ecuador	Tityra_semifasciata	0.24	31.2	18.7	79.3
Ecuador	Trogon_collaris	0.36	21.1	16.3	65.43
Ecuador	Trogon_personatus	0.37	21.2	16.0	63.39
Ecuador	Turdus_albicollis	0.21	26.7	11.0	54
Ecuador	Turdus_fulviventris	0.20	29.3	13.1	70
Ecuador	Turdus_fuscater	0.18	33.8	14.5	143
Ecuador	Turdus_ignobilis	0.22	24.9	11.9	63.78
Ecuador	Turdus_leucops	0.26	25.8	12.3	62.4
Ecuador	Turdus_nigriceps	0.22	26.3	11.7	52.7
Ecuador	Turdus_serranus	0.21	30.7	13.3	84.9
Ecuador	Tyrannus_melancholicus	0.26	27.0	13.8	37.4
Ecuador	Vireo_leucophrys	0.09	11.7	6.0	12.3
Ecuador	Volatinia_jacarina	0.14	9.9	6.8	9.95
Ecuador	Zonotrichia_capensis	0.16	14.3	7.7	20.31
Peru	Ampelion_rubrocristatus	0.23	22.4	14.8	66.3
Peru	Andigena_hypoglauca	0.10	97.7	33.1	314
Peru	Anisognathus_igniventris	0.16	15.6	10.6	34
Peru	Anisognathus_somptuosus	0.19	19.0	10.6	42
Peru	Aratinga_leucophthalma	0.39	21.8	16.1	158
Peru	Aulacorhynchus_coeruleicinctis	0.11	80.3	26.9	208
Peru	Aulacorhynchus_derbianus	0.13	82.0	27.8	210
Peru	Buthraupis_montana	0.21	21.8	13.5	96
Peru	Cacicus_chrysonotus	0.16	28.0	11.7	91.8
Peru	Catharus_ustulatus	0.32	19.8	9.5	30.3
Peru	Cephalopterus_ornatus	0.17	59.2	30.2	380
Peru	Chiroxiphia_boliviana	0.16	14.6	9.2	17.2
Peru	Chlorochrysa_calliparaea	0.24	14.7	7.5	17
Peru	Chlorophonia_cyanea	0.28	10.2	6.5	14
Peru	Chlorornis_riefferii	0.16	19.7	12.0	53
Peru	Chlorospingus_flavigularis	0.17	17.0	10.1	25.6
Peru	Chlorospingus_ophthalmicus	0.16	14.1	7.7	15.7
Peru	Chlorospingus_parvirostris	0.16	14.6	8.5	24
Peru	Colaptes_rubiginosus	0.23	28.1	11.2	65.4
Peru	Cyanerpes_caeruleus	0.23	17.6	6.0	12
Peru	Cyanocorax_yncas	0.08	29.7	15.0	78.5
Peru	Dacnis_cayana	0.25	16.3	7.7	13
Peru	Diglossa_brunneiventris	0.16	14.6	6.0	12
Peru	Diglossa_caerulescens	0.16	15.0	6.3	14.5
Peru	Diglossa_cyanea	0.17	17.3	7.2	17.1
Peru	Diglossa_glauca	0.19	13.3	5.4	12
Peru	Diglossa_mystacalis	0.15	16.3	5.7	16.2
Peru	Diglossa_sittoides	0.19	13.6	5.2	9
Peru	Elaenia_albiceps	0.23	15.9	8.4	15.5
Peru	Elaenia_pallatangae	0.21	13.1	7.1	17.8
Peru	Entomodestes_leucotis	0.21	23.9	12.9	61.7
Peru	Eubucco_versicolor	0.14	25.1	12.6	32.8
Peru	Euphonia_mesochrysa	0.21	11.2	7.4	13
Peru	Euphonia_xanthogaster	0.22	11.7	7.4	13
Peru	Iridophanes_pulcherrimus	0.26	14.8	7.0	15.3
Peru	Iridosornis_analis	0.16	14.6	8.4	26
Peru	Iridosornis_jelskii	0.16	13.6	7.8	20
Peru	Lepidothrix_coeruleocapilla	0.16	11.9	7.2	8.9
Peru	Lophotriccus_pileatus	0.13	13.3	7.6	8.1
Peru	Mionectes_striaticollis	0.15	15.6	8.8	15
Peru	Myadestes_ralloides	0.21	17.7	12.0	29.1
Peru	Ortalis_guttata	0.15	27.3	13.5	550
Peru	Patagioenas_fasciata	0.35	27.4	11.2	342.5
Peru	Patagioenas_plumbea	0.35	22.7	8.1	179
Peru	Penelope_montagnii	0.15	35.1	16.5	706
Peru	Pharomachrus_antisianus	0.42	27.1	21.8	153
Peru	Pharomachrus_auriceps	0.37	30.6	22.1	180
Peru	Pipreola_arcuata	0.18	26.2	17.6	118
Peru	Pipreola_intermedia	0.16	20.9	13.5	51
Peru	Piranga_rubra	0.28	20.5	10.5	28.2
Peru	Psarocolius_angustifrons	0.25	50.3	17.3	218.5
Peru	Psarocolius_atrovirens	0.25	42.9	15.9	152
Peru	Ramphocelus_carbo	0.15	20.4	11.4	28
Peru	Rupicola_peruvianus	0.12	31.9	20.9	244
Peru	Saltator_maximus	0.18	22.7	13.0	47.7
Peru	Tangara_arthus	0.22	14.3	8.5	22
Peru	Tangara_chilensis	0.23	14.3	7.4	23
Peru	Tangara_chrysotis	0.26	15.3	8.2	24
Peru	Tangara_cyanicollis	0.22	13.5	7.7	17
Peru	Tangara_gyrola	0.20	14.3	7.7	21
Peru	Tangara_nigroviridis	0.23	12.1	7.8	17
